iter	Passed	Remaining
0	4151	2071845
1	7377	1837079
2	10601	1756255
3	14119	1750787
4	17416	1724268
5	20653	1700457
6	24019	1691633
7	27589	1696770
8	30825	1681700
9	34096	1670733
10	37312	1658722
11	40579	1650252
12	43829	1641904
13	47185	1638007
14	50419	1630240
15	53646	1622803
16	56857	1615412
17	60049	1607995
18	63218	1600430
19	66526	1596628
20	70028	1597319
21	73233	1591155
22	76539	1587365
23	79866	1584009
24	83099	1578896
25	86321	1573701
26	89480	1567559
27	92665	1562078
28	95921	1557899
29	99065	1552028
30	102153	1545488
31	105339	1540583
32	108445	1534671
33	111707	1531053
34	114827	1525561
35	117955	1520315
36	121150	1516020
37	124590	1514755
38	127922	1512113
39	131137	1508081
40	134434	1505012
41	137719	1501794
42	140953	1498036
43	144165	1494081
44	147404	1490426
45	150573	1486096
46	153769	1482074
47	156895	1477428
48	160099	1473564
49	163393	1470538
50	166705	1467662
51	169936	1464071
52	173111	1460011
53	176247	1455672
54	179415	1451632
55	182699	1448543
56	185911	1444894
57	189149	1441449
58	192314	1437467
59	195503	1433692
60	198730	1430206
61	201940	1426608
62	205117	1422798
63	208270	1418843
64	211474	1415252
65	214718	1411934
66	217844	1407861
67	221045	1404291
68	224198	1400429
69	227403	1396905
70	230643	1393606
71	233889	1390344
72	237140	1387109
73	240358	1383687
74	243514	1379913
75	246667	1376142
76	249892	1372785
77	253032	1368972
78	256219	1365424
79	259413	1361923
80	262656	1358679
81	265782	1354841
82	268936	1351164
83	272151	1347795
84	275322	1344219
85	278439	1340395
86	281636	1336965
87	284785	1333314
88	287971	1329845
89	291166	1326426
90	294421	1323279
91	297567	1319647
92	300723	1316067
93	303900	1312590
94	307038	1308954
95	310241	1305599
96	313369	1301938
97	316588	1298657
98	319736	1295093
99	322922	1291688
100	326028	1287972
101	329093	1284111
102	332205	1280443
103	335421	1277182
104	338577	1273694
105	341842	1270622
106	345019	1267222
107	348145	1263640
108	351416	1260586
109	354633	1257335
110	357867	1254149
111	361132	1251067
112	364308	1247674
113	367381	1243942
114	370683	1240984
115	373883	1237682
116	377083	1234383
117	380248	1230972
118	383336	1227321
119	386483	1223864
120	389697	1220622
121	392943	1217480
122	396110	1214093
123	399385	1211040
124	402608	1207826
125	405870	1204727
126	409013	1201274
127	412219	1198014
128	415386	1194639
129	418549	1191254
130	421729	1187925
131	425022	1184910
132	428417	1182173
133	431523	1178637
134	434693	1175283
135	437857	1171913
136	441008	1168512
137	444327	1165553
138	447521	1162268
139	450736	1159037
140	453883	1155632
141	457076	1152347
142	460355	1149279
143	463530	1145950
144	466915	1143138
145	470128	1139901
146	473287	1136533
147	476502	1133303
148	479661	1129941
149	483130	1127303
150	486693	1124874
151	489946	1121720
152	493156	1118466
153	496402	1115294
154	499603	1112021
155	502984	1109145
156	506310	1106143
157	509491	1102824
158	512628	1099411
159	515824	1096127
160	518945	1092687
161	522044	1089203
162	525187	1085817
163	528517	1082816
164	531736	1079585
165	534876	1076196
166	538010	1072799
167	541235	1069584
168	544388	1066227
169	547488	1062771
170	550640	1059418
171	553766	1056019
172	556867	1052575
173	560020	1049233
174	563168	1045883
175	566296	1042500
176	569408	1039090
177	572581	1035794
178	575857	1032682
179	579012	1029355
180	582125	1025956
181	585213	1022516
182	588345	1019155
183	591564	1015947
184	594708	1012611
185	597814	1009212
186	600932	1005838
187	604127	1002594
188	607249	999230
189	610485	996055
190	613746	992919
191	616974	989729
192	620196	986529
193	623407	983312
194	626606	980077
195	629900	976988
196	633025	973637
197	636198	970363
198	639405	967140
199	642647	963971
200	645829	960711
201	648920	957318
202	652052	953987
203	655115	950559
204	658333	947358
205	661515	944104
206	664712	940872
207	668218	938076
208	671408	934831
209	674679	931699
210	677791	928350
211	680896	924990
212	684109	921781
213	687232	918450
214	690340	915102
215	693567	911913
216	696765	908685
217	699942	905430
218	703035	902067
219	706228	898836
220	709446	895635
221	712599	892354
222	715778	889106
223	718889	885774
224	722086	882549
225	725218	879247
226	728364	875962
227	731542	872717
228	734730	869484
229	737890	866219
230	741041	862944
231	744252	859740
232	747446	856515
233	750583	853227
234	753852	850089
